iter	Passed	Remaining
713	1102	441
714	1103	440
715	1105	438
716	1106	436
717	1107	435
718	1109	433
719	1110	431
720	1111	430
721	1113	428
722	1114	427
723	1116	425
724	1117	423
725	1118	422
726	1119	420
727	1120	418
728	1122	417
729	1123	415
730	1124	413
731	1125	412
732	1126	410
733	1128	409
734	1130	407
735	1131	405
736	1132	404
737	1133	402
738	1135	400
739	1136	399
740	1137	397
741	1138	395
742	1139	394
743	1141	392
744	1142	390
745	1182	402
746	1184	401
747	1186	399
748	1188	398
749	1191	397
750	1196	396
751	1199	395
752	1202	394
753	1204	392
754	1206	391
755	1209	390
756	1211	389
757	1213	387
758	1216	386
759	1230	388
760	1244	390
761	1254	391
762	1272	395
763	1280	395
764	1281	393
765	1282	391
766	1284	390
767	1286	388
768	1287	386
769	1288	385
770	1290	383
771	1292	381
772	1294	380
773	1295	378
774	1297	376
775	1298	374
776	1300	373
777	1302	371
778	1304	369
779	1306	368
780	1307	366
781	1309	364
782	1310	363
783	1311	361
784	1312	359
785	1313	357
786	1315	355
787	1316	354
788	1317	352
789	1318	350
790	1322	349
791	1323	347
792	1325	345
793	1326	344
794	1327	342
795	1329	340
796	1330	338
797	1331	337
798	1332	335
799	1333	333
800	1336	331
801	1337	330
802	1338	328
803	1340	326
804	1341	324
805	1342	323
806	1343	321
807	1344	319
808	1346	317
809	1347	316
810	1348	314
811	1349	312
812	1351	310
813	1353	309
814	1354	307
815	1355	305
816	1356	303
817	1358	302
818	1359	300
819	1360	298
820	1361	296
821	1362	295
822	1363	293
823	1366	291
824	1367	290
825	1368	288
826	1369	286
827	1370	284
828	1371	283
829	1373	281
830	1374	279
831	1375	277
832	1376	276
833	1378	274
834	1379	272
835	1381	271
836	1383	269
837	1384	267
838	1385	265
839	1386	264
840	1387	262
841	1388	260
842	1389	258
843	1391	257
844	1392	255
845	1394	253
846	1395	252
847	1397	250
848	1398	248
849	1399	246
850	1401	245
851	1402	243
852	1403	241
853	1404	240
854	1405	238
855	1407	236
856	1408	234
857	1409	233
858	1411	231
859	1412	229
860	1413	228
861	1415	226
862	1416	224
863	1417	223
864	1419	221
865	1420	219
866	1421	218
867	1422	216
868	1423	214
869	1425	212
870	1427	211
871	1428	209
872	1429	207
873	1430	206
874	1432	204
875	1433	202
876	1435	201
877	1436	199
878	1437	197
879	1438	196
880	1439	194
881	1442	192
882	1443	191
883	1444	189
884	1445	187
885	1447	186
886	1448	184
887	1449	182
888	1450	181
889	1451	179
890	1452	177
891	1453	176
892	1455	174
893	1457	172
894	1458	171
895	1459	169
896	1461	167
897	1462	166
898	1463	164
899	1464	162
900	1465	161
901	1466	159
902	1468	157
903	1469	156
904	1470	154
905	1472	152
906	1473	151
907	1475	149
908	1476	147
909	1477	146
910	1478	144
911	1480	142
912	1481	141
913	1482	139
914	1483	137
915	1484	136
916	1486	134
917	1489	133
918	1490	131
919	1491	129
920	1492	128
921	1493	126
922	1494	124
923	1496	123
924	1497	121
925	1498	119
926	1499	118
927	1501	116
928	1502	114
929	1504	113
930	1506	111
931	1508	110
932	1509	108
933	1510	106
934	1511	105
935	1512	103
936	1514	101
937	1515	100
938	1516	98
939	1519	96
940	1521	95
941	1522	93
942	1523	92
943	1525	90
944	1526	88
945	1527	87
946	1528	85
947	1529	83
948	1530	82
949	1533	80
950	1535	79
951	1536	77
952	1538	75
953	1539	74
954	1541	72
955	1542	70
956	1543	69
957	1544	67
958	1545	66
959	1547	64
960	1550	62
961	1551	61
962	1553	59
963	1554	58
964	1555	56
965	1556	54
966	1557	53
967	1559	51
968	1560	49
969	1562	48
970	1564	46
971	1565	45
972	1567	43
973	1568	41
974	1569	40
975	1571	38
976	1572	37
977	1573	35
978	1574	33
979	1576	32
980	1578	30
981	1580	28
982	1581	27
983	1582	25
984	1583	24
985	1585	22
986	1586	20
987	1587	19
988	1589	17
989	1590	16
990	1592	14
991	1594	12
992	1595	11
993	1596	9
994	1597	8
995	1599	6
996	1600	4
997	1601	3
998	1602	1
999	1603	0
